"","Number_of_mu_Land_Cultivated_lastyear","Total_Income_From_Crops_lastyear","Value_of_Crops_Consumed_lastyear","Yuan_Spent_Raising_Crops_lastyear","Year","HHid","Province","UR","Total_Value_From_Crops_lastyear","CI","time","ratio","logmu","logratio","Y"
"93",13,20000,3000,3000,7,212104064,"Liaoning","Rural",23000,"Coastal",4,230.591852421214,2.57261223020711,5.44108284778629,10.0432538427279
"94",7,0,4200,500,11,212104064,"Liaoning","Rural",4200,"Coastal",5,71.3266761768902,1.96009478404727,4.26867141549132,8.34286361351183
"95",3,1000,1000,400,0,212104081,"Liaoning","Rural",2000,"Coastal",1,132.890365448505,1.1314021114911,4.89027668536103,7.60095245829212
"96",10,5000,1000,2500,2,212104081,"Liaoning","Rural",6000,"Coastal",2,249.75024975025,2.31253542384721,5.52086173739047,8.69953141473797
"97",3,1000,800,400,5,212104081,"Liaoning","Rural",1800,"Coastal",3,132.890365448505,1.1314021114911,4.89027668536103,7.49559749789666
"98",0,7000,2000,1500,7,212104081,"Liaoning","Rural",9000,"Coastal",4,150000,-2.30258509299405,11.9183912397448,9.10499096736774
"99",28,8000,3000,3000,0,212104083,"Liaoning","Rural",11000,"Coastal",1,107.104605498036,3.3357695763397,4.67473920944929,9.30565964264828
"100",10,5000,3000,4000,5,212104083,"Liaoning","Rural",8000,"Coastal",3,399.6003996004,2.31253542384721,5.99071526546759,8.98720932058385
"101",20,15000,2000,5000,7,212104083,"Liaoning","Rural",17000,"Coastal",4,249.875062468766,3.00071981506503,5.52136116276193,9.74097450537399
"102",2,1200,600,300,0,212201020,"Liaoning","Rural",1800,"Coastal",1,149.253731343284,0.741937344729377,5.00631752823542,7.49559749789666
"103",2,700,700,300,2,212201020,"Liaoning","Rural",1400,"Coastal",2,149.253731343284,0.741937344729377,5.00631752823542,7.24429894162388
"104",2,700,500,200,5,212201020,"Liaoning","Rural",1200,"Coastal",3,99.5024875621891,0.741937344729377,4.60118713980266,7.0901601656374
"105",2,2000,600,620,7,212201020,"Liaoning","Rural",2600,"Coastal",4,308.457711442786,0.741937344729377,5.73190889697717,7.86330518480841
"106",5,5000,1500,400,0,212202002,"Liaoning","Rural",6500,"Coastal",1,79.8403193612775,1.62924053973028,4.38128034828742,8.77957284038077
"107",6,6000,6000,3000,5,212202002,"Liaoning","Rural",12000,"Coastal",3,499.168053244592,1.80828877117927,6.21314313237242,9.39267026206875
"108",10,12000,500,4000,7,212202002,"Liaoning","Rural",12500,"Coastal",4,399.6003996004,2.31253542384721,5.99071526546759,9.43349192325839
"109",10,12000,1000,1800,11,212202002,"Liaoning","Rural",13000,"Coastal",5,179.82017982018,2.31253542384721,5.19251330709576,9.47271232872178
"110",7,7000,3000,1500,0,212202003,"Liaoning","Rural",10000,"Coastal",1,213.98002853067,1.96009478404727,5.36634991021092,9.21035037192618
"111",12,3000,4000,5000,2,212202003,"Liaoning","Rural",7000,"Coastal",2,416.319733555371,2.4932054526027,6.03169372648094,8.8536797136497
"112",10,10000,2000,3000,5,212202003,"Liaoning","Rural",12000,"Coastal",3,299.7002997003,2.31253542384721,5.70311658533544,9.39267026206875
"113",10,10000,1000,3500,7,212202003,"Liaoning","Rural",11000,"Coastal",4,349.65034965035,2.31253542384721,5.85721961326017,9.30565964264828
"114",15,35000,1200,2400,11,212202003,"Liaoning","Rural",36200,"Coastal",5,159.893404397069,2.71469474382088,5.07513259186583,10.496817160241
"115",2,2000,400,400,0,212202006,"Liaoning","Rural",2400,"Coastal",1,199.004975124378,0.741937344729377,5.29383219882615,7.78326568213467
"116",5,2500,1000,1000,5,212202006,"Liaoning","Rural",3500,"Coastal",3,199.600798403194,1.62924053973028,5.29682023842676,8.16054681849792
"117",5,5000,2000,2000,7,212202006,"Liaoning","Rural",7000,"Coastal",4,399.201596806387,1.62924053973028,5.98971701307542,8.8536797136497
"118",4,5000,1000,1100,11,212202006,"Liaoning","Rural",6000,"Coastal",5,274.31421446384,1.41098697371026,5.61463869649198,8.69953141473797
"119",7,5000,1300,500,0,212202009,"Liaoning","Rural",6300,"Coastal",1,71.3266761768902,1.96009478404727,4.26867141549132,8.74832078526952
"120",18,15000,1500,7000,5,212202009,"Liaoning","Rural",16500,"Coastal",3,388.672959466963,2.89591193827178,5.96299552147158,9.71112172047637
"121",18,20000,1000,1300,7,212202009,"Liaoning","Rural",21000,"Coastal",4,72.1821210438645,2.89591193827178,4.28057681011728,9.95228247859898
"122",9,10000,1300,5000,11,212202009,"Liaoning","Rural",11300,"Coastal",5,554.938956714761,2.2082744135228,6.31903830356192,9.3325668542188
"123",2,2000,2000,500,5,212202012,"Liaoning","Rural",4000,"Coastal",3,248.756218905473,0.741937344729377,5.51687529557086,8.29407463978953
"124",1,2000,700,520,7,212202012,"Liaoning","Rural",2700,"Coastal",4,514.851485148515,0.0953101798043249,6.24407269263118,7.9010440883436
"125",4,3500,1500,1000,11,212202012,"Liaoning","Rural",5000,"Coastal",5,249.376558603491,1.41098697371026,5.51936495728465,8.51721319121624
"126",5,1500,6000,600,0,212202013,"Liaoning","Rural",7500,"Coastal",1,119.760479041916,1.62924053973028,4.78632839170081,8.92267163276885
"127",4,2000,3000,2000,5,212202013,"Liaoning","Rural",5000,"Coastal",3,498.753117206983,1.41098697371026,6.21231169812617,8.51721319121624
"128",6,6000,800,700,7,212202013,"Liaoning","Rural",6800,"Coastal",4,116.472545757072,1.80828877117927,4.75851378956324,8.82469259693842
"129",10,8000,1000,1000,11,212202013,"Liaoning","Rural",9000,"Coastal",5,99.9000999000999,2.31253542384721,4.60517118498859,9.10499096736774
"130",7,2000,3000,2000,5,212202014,"Liaoning","Rural",5000,"Coastal",3,285.306704707561,1.96009478404727,5.65391519708481,8.51721319121624
"131",2,4000,2000,800,7,212202014,"Liaoning","Rural",6000,"Coastal",4,398.009950248756,0.741937344729377,5.98672822403895,8.69953141473797
"132",10,13000,1200,2000,11,212202014,"Liaoning","Rural",14200,"Coastal",5,199.8001998002,2.31253542384721,5.2978182410066,9.56100428581808
"133",8,5000,3000,1500,0,212202016,"Liaoning","Rural",8000,"Coastal",1,187.265917602996,2.09186406167839,5.23306348348277,8.98720932058385
"134",10,4000,9000,3000,2,212202016,"Liaoning","Rural",13000,"Coastal",2,299.7002997003,2.31253542384721,5.70311658533544,9.47271232872178
"135",20,10000,5000,5000,5,212202016,"Liaoning","Rural",15000,"Coastal",3,249.875062468766,3.00071981506503,5.52136116276193,9.61581214672879
"136",16,20000,3000,7000,7,212202016,"Liaoning","Rural",23000,"Coastal",4,437.226733291693,2.77881927199042,6.08068058916342,10.0432538427279
"137",4,2000,10000,2000,11,212202016,"Liaoning","Rural",12000,"Coastal",5,498.753117206983,1.41098697371026,6.21231169812617,9.39267026206875
"138",6,3000,1000,2000,5,212202018,"Liaoning","Rural",4000,"Coastal",3,332.778702163062,1.80828877117927,5.80777816585388,8.29407463978953
"139",7,4000,1000,2000,7,212202018,"Liaoning","Rural",5000,"Coastal",4,285.306704707561,1.96009478404727,5.65391519708481,8.51721319121624
"140",7,10000,1000,3000,11,212202018,"Liaoning","Rural",11000,"Coastal",5,427.960057061341,1.96009478404727,6.05926350597461,9.30565964264828
"141",5,2000,1200,300,0,212202062,"Liaoning","Rural",3200,"Coastal",1,59.8802395209581,1.62924053973028,4.09401516665997,8.07093733829955
"142",4,2000,1500,800,5,212202062,"Liaoning","Rural",3500,"Coastal",3,199.501246882793,1.41098697371026,5.29632161076563,8.16054681849792
"143",10,15000,3000,1,7,212202062,"Liaoning","Rural",18000,"Coastal",4,0.0999000999000999,2.31253542384721,-1.60993753772553,9.79813259241842
"144",4,1006,700,500,0,212202066,"Liaoning","Rural",1706,"Coastal",1,124.688279301746,1.41098697371026,4.82661853567356,7.44196534298086
"145",4,4000,1000,2000,2,212202066,"Liaoning","Rural",5000,"Coastal",2,498.753117206983,1.41098697371026,6.21231169812617,8.51721319121624
"146",6,4000,5000,2000,5,212202066,"Liaoning","Rural",9000,"Coastal",3,332.778702163062,1.80828877117927,5.80777816585388,9.10499096736774
"147",3,6000,2000,800,7,212202066,"Liaoning","Rural",8000,"Coastal",4,265.78073089701,1.1314021114911,5.58304782814286,8.98720932058385
"148",6,10000,10000,3000,11,212202066,"Liaoning","Rural",20000,"Coastal",5,499.168053244592,1.80828877117927,6.21314313237242,9.90349255252363
"149",5,1000,500,800,0,212202081,"Liaoning","Rural",1500,"Coastal",1,159.680638722555,1.62924053973028,5.07380186655845,7.31328705153484
"150",6,3000,600,1000,2,212202081,"Liaoning","Rural",3600,"Coastal",2,166.389351081531,1.80828877117927,5.11493134990685,8.18871690183618
"151",3,5000,3000,2000,5,212202081,"Liaoning","Rural",8000,"Coastal",3,664.451827242525,1.1314021114911,6.49911286945731,8.98720932058385
"152",11,10000,3000,4000,7,212202081,"Liaoning","Rural",13000,"Coastal",4,363.30608537693,2.40694510831829,5.89552090149311,9.47271232872178
"153",5,15000,3000,3000,11,212202081,"Liaoning","Rural",18000,"Coastal",5,598.802395209581,1.62924053973028,6.39509863861053,9.79813259241842
"154",18,10000,2000,3000,5,212203003,"Liaoning","Rural",12000,"Coastal",3,166.574125485841,2.89591193827178,5.11604056166775,9.39267026206875
"155",33,30000,4000,4000,7,212203003,"Liaoning","Rural",34000,"Coastal",4,121.175401393517,3.49953328238302,4.79806400390537,10.4341187447704
"156",20,35000,700,3000,11,212203003,"Liaoning","Rural",35700,"Coastal",5,149.925037481259,3.00071981506503,5.01080219670897,10.4829087688843
"157",6,3600,1400,700,5,212203006,"Liaoning","Rural",5000,"Coastal",3,116.472545757072,1.80828877117927,4.75851378956324,8.51721319121624
"158",6,5000,2000,800,7,212203006,"Liaoning","Rural",7000,"Coastal",4,133.111480865225,1.80828877117927,4.89193794707378,8.8536797136497
"159",7,6000,2600,2000,11,212203006,"Liaoning","Rural",8600,"Coastal",5,285.306704707561,1.96009478404727,5.65391519708481,9.05952911008097
"160",4,2200,25000,400,0,212203008,"Liaoning","Rural",27200,"Coastal",1,99.7506234413965,1.41098697371026,4.60367530362197,10.2109759287479
"161",5,4000,3000,1000,7,212203008,"Liaoning","Rural",7000,"Coastal",4,199.600798403194,1.62924053973028,5.29682023842676,8.8536797136497
"162",2,2000,500,600,11,212203008,"Liaoning","Rural",2500,"Coastal",5,298.507462686567,0.741937344729377,5.69912987704519,7.82408601005631
"163",15,7000,2000,1200,0,212203012,"Liaoning","Rural",9000,"Coastal",1,79.9467021985343,2.71469474382088,4.38261024182377,9.10499096736774
"164",8,3000,3000,700,5,212203012,"Liaoning","Rural",6000,"Coastal",3,87.3907615480649,2.09186406167839,4.47153320548153,8.69953141473797
"165",4,1000,2000,1000,7,212203012,"Liaoning","Rural",3000,"Coastal",4,249.376558603491,1.41098697371026,5.51936495728465,8.00640090042804
"166",3.5,6000,1000,1000,11,212203012,"Liaoning","Rural",7000,"Coastal",5,284.900284900285,1.28093384546206,5.65249017991827,8.8536797136497
"167",7,2500,3200,1000,0,212203018,"Liaoning","Rural",5700,"Coastal",1,142.65335235378,1.96009478404727,4.9611183323499,8.6482389975284
"168",7,5000,400,2000,2,212203018,"Liaoning","Rural",5400,"Coastal",2,285.306704707561,1.96009478404727,5.65391519708481,8.59417275089942
"169",1,1000,400,300,7,212203018,"Liaoning","Rural",1400,"Coastal",4,297.029702970297,0.0953101798043249,5.69416875381019,7.24429894162388
"170",7,3000,2000,600,0,212203019,"Liaoning","Rural",5000,"Coastal",1,85.5920114122682,1.96009478404727,4.45075960553272,8.51721319121624
"171",6,1000,2000,800,2,212203019,"Liaoning","Rural",3000,"Coastal",2,133.111480865225,1.80828877117927,4.89193794707378,8.00640090042804
"172",10,12000,4000,2000,5,212203019,"Liaoning","Rural",16000,"Coastal",3,199.8001998002,2.31253542384721,5.2978182410066,9.68035025120239
"173",10,2000,800,150,0,212203020,"Liaoning","Rural",2800,"Coastal",1,14.985014985015,2.31253542384721,2.71370186598242,7.93741040981127
"174",3,3000,2000,800,5,212203020,"Liaoning","Rural",5000,"Coastal",3,265.78073089701,1.1314021114911,5.58304782814286,8.51721319121624
"175",13,14000,1300,2300,7,212203020,"Liaoning","Rural",15300,"Coastal",4,176.787086856264,2.57261223020711,5.17551160164585,9.63561464330688
"176",4,2000,1000,1000,0,212203062,"Liaoning","Rural",3000,"Coastal",1,249.376558603491,1.41098697371026,5.51936495728465,8.00640090042804
"177",4,1500,2000,1000,2,212203062,"Liaoning","Rural",3500,"Coastal",2,249.376558603491,1.41098697371026,5.51936495728465,8.16054681849792
"178",5,3000,2000,2700,5,212203062,"Liaoning","Rural",5000,"Coastal",3,538.922155688623,1.62924053973028,6.2897566752379,8.51721319121624
"179",1,1000,300,200,7,212203062,"Liaoning","Rural",1300,"Coastal",4,198.019801980198,0.0953101798043249,5.28887190822528,7.17019646356812
"180",5,4000,500,1000,11,212203062,"Liaoning","Rural",4500,"Coastal",5,199.600798403194,1.62924053973028,5.29682023842676,8.41185489773372
"181",3,2000,1500,500,0,212203063,"Liaoning","Rural",3500,"Coastal",1,166.112956810631,1.1314021114911,5.1132698385321,8.16054681849792
"182",10,4000,400,2000,2,212203063,"Liaoning","Rural",4400,"Coastal",2,199.8001998002,2.31253542384721,5.2978182410066,8.38938254692082
"183",1,1000,200,100,7,212203063,"Liaoning","Rural",1200,"Coastal",4,99.009900990099,0.0953101798043249,4.5962293454281,7.0901601656374
"184",20,40000,300,4200,11,212203063,"Liaoning","Rural",40300,"Coastal",5,209.895052473763,3.00071981506503,5.34708397079119,10.6041092293213
"185",4,1400,1200,400,0,212203064,"Liaoning","Rural",2600,"Coastal",1,99.7506234413965,1.41098697371026,4.60367530362197,7.86330518480841
"186",4,2000,400,700,2,212203064,"Liaoning","Rural",2400,"Coastal",2,174.563591022444,1.41098697371026,5.16286178684777,7.78326568213467
"187",6,3000,2000,1400,7,212203064,"Liaoning","Rural",5000,"Coastal",4,232.945091514143,1.80828877117927,5.45123196065377,8.51721319121624
"188",5,4000,1000,800,11,212203064,"Liaoning","Rural",5000,"Coastal",5,159.680638722555,1.62924053973028,5.07380186655845,8.51721319121624
"189",6,1000,1000,600,2,212203101,"Liaoning","Rural",2000,"Coastal",2,99.8336106489185,1.80828877117927,4.60450607200239,7.60095245829212
"190",2,2500,1500,800,5,212203101,"Liaoning","Rural",4000,"Coastal",3,398.009950248756,0.741937344729377,5.98672822403895,8.29407463978953
